Modelo,Acurácia,Precisão (Macro),Recall (Macro),F1-score (Macro),Classe Melhor F1,Precisão (Best),Recall (Best),F1-score (Best)
Naive Bayes,0.9649122807017544,0.9672569328433009,0.9580740255486406,0.9623015873015872,1,0.958904109589041,0.9859154929577465,0.9722222222222222
Decision Tree,0.9473684210526315,0.9439895185063871,0.9439895185063871,0.9439895185063871,1,0.9577464788732394,0.9577464788732394,0.9577464788732394
Random Forest,0.9649122807017544,0.9672569328433009,0.9580740255486406,0.9623015873015872,1,0.958904109589041,0.9859154929577465,0.9722222222222222
kNN,0.9473684210526315,0.9439895185063871,0.9439895185063871,0.9439895185063871,1,0.9577464788732394,0.9577464788732394,0.9577464788732394
SVM,0.9824561403508771,0.9863013698630136,0.9767441860465116,0.9811507936507937,1,0.9726027397260274,1.0,0.9861111111111112
MLP,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.9718634306869601,1,0.9722222222222222,0.9859154929577465,0.9790209790209791
Logistic Regression,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.9718634306869601,1,0.9722222222222222,0.9859154929577465,0.9790209790209791
